filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,5,49,20,0,19,19,6,20,62,60,7690
simphyout/pop_6_n_20_1.newick,6,7,20,0,19,19,6,20,67,60,11975
simphyout/pop_6_n_20_1.newick,6,8,20,0,19,19,6,20,66,61,7166
simphyout/pop_6_n_20_1.newick,6,9,20,0,19,19,6,20,65,59,6862
simphyout/pop_6_n_20_1.newick,6,10,20,0,19,19,6,20,63,60,7051
simphyout/pop_6_n_20_1.newick,6,11,20,0,19,19,6,20,63,62,8037
simphyout/pop_6_n_20_1.newick,6,12,20,0,19,19,6,20,63,60,11411
simphyout/pop_6_n_20_1.newick,6,13,20,0,19,19,6,20,63,61,8513
simphyout/pop_6_n_20_1.newick,6,14,20,0,19,19,6,20,62,56,7382
simphyout/pop_6_n_20_1.newick,6,15,20,0,19,19,6,20,63,64,7163
simphyout/pop_6_n_20_1.newick,6,16,20,0,19,19,6,20,63,61,7285
simphyout/pop_6_n_20_1.newick,6,17,20,0,19,19,6,20,63,63,11417
simphyout/pop_6_n_20_1.newick,6,18,20,0,19,19,6,20,63,112,7341
simphyout/pop_6_n_20_1.newick,6,19,20,0,19,19,6,20,63,63,6707
simphyout/pop_6_n_20_1.newick,6,20,20,0,19,19,6,20,64,62,6897
simphyout/pop_6_n_20_1.newick,6,21,20,0,19,19,6,20,62,58,7468
simphyout/pop_6_n_20_1.newick,6,22,20,0,19,19,6,20,62,60,7458
simphyout/pop_6_n_20_1.newick,6,23,20,0,19,19,6,20,69,61,8330
simphyout/pop_6_n_20_1.newick,6,24,20,0,19,19,6,20,63,63,7067
simphyout/pop_6_n_20_1.newick,6,25,20,0,19,19,6,20,62,59,6993
simphyout/pop_6_n_20_1.newick,6,26,20,0,19,19,6,20,63,60,6913
simphyout/pop_6_n_20_1.newick,6,27,20,0,19,19,6,20,62,59,7244
simphyout/pop_6_n_20_1.newick,6,28,20,0,19,19,6,20,63,58,9146
simphyout/pop_6_n_20_1.newick,6,29,20,0,19,19,6,20,62,61,7310
simphyout/pop_6_n_20_1.newick,6,30,20,0,19,19,6,20,63,63,6911
simphyout/pop_6_n_20_1.newick,6,31,20,0,19,19,6,20,63,58,6736
simphyout/pop_6_n_20_1.newick,6,32,20,0,19,19,6,20,63,58,7532
simphyout/pop_6_n_20_1.newick,6,33,20,0,19,19,6,20,63,59,8642
simphyout/pop_6_n_20_1.newick,6,34,20,0,19,19,6,20,62,61,7931
simphyout/pop_6_n_20_1.newick,6,35,20,0,19,19,6,20,62,62,6715
simphyout/pop_6_n_20_1.newick,6,36,20,0,19,19,6,20,61,61,6608
simphyout/pop_6_n_20_1.newick,6,37,20,0,19,19,6,20,62,62,7165
simphyout/pop_6_n_20_1.newick,6,38,20,0,19,19,6,20,63,60,7301
simphyout/pop_6_n_20_1.newick,6,39,20,0,19,19,6,20,63,75,7807
simphyout/pop_6_n_20_1.newick,6,40,20,0,19,19,6,20,63,118,7039
simphyout/pop_6_n_20_1.newick,6,41,20,0,19,19,6,20,63,118,6754
simphyout/pop_6_n_20_1.newick,6,42,20,0,19,19,6,20,62,118,6936
simphyout/pop_6_n_20_1.newick,6,43,20,0,19,19,6,20,62,95,7542
simphyout/pop_6_n_20_1.newick,6,44,20,0,19,19,6,20,68,101,8977
simphyout/pop_6_n_20_1.newick,6,45,20,0,19,19,6,20,62,99,7117
simphyout/pop_6_n_20_1.newick,6,46,20,0,19,19,6,20,63,100,7939
simphyout/pop_6_n_20_1.newick,6,47,20,0,19,19,6,20,62,100,6894
simphyout/pop_6_n_20_1.newick,6,48,20,0,19,19,6,20,66,128,7508
simphyout/pop_6_n_20_1.newick,6,49,20,0,19,19,6,20,62,123,10677
simphyout/pop_6_n_20_1.newick,7,8,20,0,19,19,6,20,67,98,7698
simphyout/pop_6_n_20_1.newick,7,9,20,0,19,19,6,20,65,99,6892
